Player,Runs,Fours,Sixes,Dots,Wickets,RunsConceded,Overs,StrikeRate,Economy,PerformanceScore
Colin de Grandhomme,24341,0.0,0.0,0.0,75,3015,817.6,2434100.0,3.6831175177131685,26216
Corey Anderson,18053,0.0,0.0,0.0,74,2330,411.4,1805300.0,5.649854510184287,19903
Corey Collymore,3116,0.0,0.0,0.0,19,468,171.1,311600.0,2.7193492155723415,3591
Craig Overton,1979,0.0,0.0,0.0,7,351,91.0,197900.0,3.8152173913043477,2154
Craig Simmons,858,0.0,0.0,0.0,3,88,14.0,85800.0,5.866666666666666,933
Craig Wright,965,0.0,0.0,0.0,6,173,35.0,96500.0,4.805555555555555,1115
Craig Young,1885,0.0,0.0,0.0,12,419,60.0,188500.0,6.868852459016393,2185
Curtis Campher,988,0.0,0.0,0.0,7,175,31.3,98800.0,5.41795665634675,1163
D'Arcy Short,10555,0.0,0.0,0.0,31,1116,134.2,1055500.0,8.254437869822485,11330
Dale Steyn,50813,0.0,0.0,0.0,397,9510,2092.9,5081300.0,4.541764172119012,60738
Dan Lawrence,277,0.0,0.0,0.0,0,26,3.0,27700.0,6.5,277
Dane Paterson,2819,0.0,0.0,0.0,13,541,106.0,281900.0,5.05607476635514,3144
Dane Piedt,4629,0.0,0.0,0.0,26,1175,304.0,462900.0,3.8524590163934427,5279
Daniel Christian,23342,0.0,0.0,0.0,130,3595,458.2,2334200.0,7.82883275261324,26592
Daniel Fallins,273,0.0,0.0,0.0,0,44,5.0,27300.0,7.333333333333333,273
Daniel Flynn,921,0.0,0.0,0.0,0,25,5.0,92100.0,4.166666666666667,921
Daniel Harris,863,0.0,0.0,0.0,0,61,6.0,86300.0,8.714285714285714,863
Daniel Salpietro,335,0.0,0.0,0.0,1,65,8.0,33500.0,7.222222222222222,360
Daniel Sams,7081,0.0,0.0,0.0,61,1313,154.8,708100.0,8.427471116816431,8606
Daniel Vettori,34829,0.0,0.0,0.0,188,6229,1722.8,3482900.0,3.6135282515373013,39529
Daniel Worrall,6483,0.0,0.0,0.0,35,1212,150.2,648300.0,8.015873015873016,7358
Danish Kaneria,4262,0.0,0.0,0.0,22,1107,288.4,426200.0,3.8251554941257777,4812
Danny Briggs,2737,0.0,0.0,0.0,15,471,57.5,273700.0,8.051282051282051,3112
Danushka Gunathilaka,4895,0.0,0.0,0.0,5,292,63.0,489500.0,4.5625,5020
Daren Powell,4008,0.0,0.0,0.0,21,686,139.0,400800.0,4.9,4533
Daren Sammy,36463,0.0,0.0,0.0,134,5121,1065.9,3646300.0,4.799887524603992,39813
Darren Bravo,508,0.0,0.0,0.0,0,2,1.0,50800.0,1.0,508
Darren Maddy,218,0.0,0.0,0.0,1,20,2.0,21800.0,6.666666666666667,243
Darren Pattinson,1290,0.0,0.0,0.0,9,215,28.0,129000.0,7.413793103448276,1515
Darron Reekers,254,0.0,0.0,0.0,1,18,6.0,25400.0,2.5714285714285716,279
Daryl Mitchell,2111,0.0,0.0,0.0,6,179,40.7,211100.0,4.292565947242206,2261
Daryl Tuffey,3594,0.0,0.0,0.0,19,656,152.3,359400.0,4.279191128506197,4069
Daryn Dupavillon,254,0.0,0.0,0.0,1,21,6.0,25400.0,3.0,279
Dasun Shanaka,4370,0.0,0.0,0.0,20,527,109.1,437000.0,4.786557674841053,4870
Dave Langford-Smith,4009,0.0,0.0,0.0,19,693,140.0,400900.0,4.914893617021277,4484
Dave Mohammed,998,0.0,0.0,0.0,7,225,45.5,99800.0,4.838709677419355,1173
David Bernard,2630,0.0,0.0,0.0,11,404,85.0,263000.0,4.6976744186046515,2905
David Hemp,413,0.0,0.0,0.0,0,32,2.0,41300.0,10.666666666666666,413
David Hussey,11531,0.0,0.0,0.0,35,1148,164.0,1153100.0,6.957575757575758,12406
David Moody,825,0.0,0.0,0.0,5,139,15.0,82500.0,8.6875,950
David Warner,3741,0.0,0.0,0.0,0,107,18.1,374100.0,5.602094240837696,3741
David Wiese,5081,0.0,0.0,0.0,39,922,122.4,508100.0,7.471636952998379,6056
David Willey,20706,0.0,0.0,0.0,121,3424,531.8,2070600.0,6.426426426426427,23731
Dawid Malan,1926,0.0,0.0,0.0,1,97,28.0,192600.0,3.3448275862068964,1951
Dawlat Ahmadzai,116,0.0,0.0,0.0,1,21,2.0,11600.0,7.0,141
Dawlat Zadran,1827,0.0,0.0,0.0,7,364,50.0,182700.0,7.137254901960785,2002
Dean Brownlie,633,0.0,0.0,0.0,0,17,4.0,63300.0,3.4,633
Dean Elgar,11906,0.0,0.0,0.0,15,588,155.5,1190600.0,3.757188498402556,12281
Deepak Chahar,10100,0.0,0.0,0.0,57,1706,224.7,1010000.0,7.5587062472308375,11525
Deepak Hooda,3440,0.0,0.0,0.0,7,322,38.1,344000.0,8.235294117647058,3615
Deighton Butler,262,0.0,0.0,0.0,1,30,8.0,26200.0,3.3333333333333335,287
Delyone Borden,689,0.0,0.0,0.0,4,88,13.0,68900.0,6.285714285714286,789
Devendra Bishoo,13539,0.0,0.0,0.0,55,2810,705.4,1353900.0,3.9779161947904873,14914
Devon Smith,223,0.0,0.0,0.0,0,5,0.5,22300.0,3.3333333333333335,223
Dewald Nel,547,0.0,0.0,0.0,1,126,18.4,54700.0,6.494845360824743,572
Dhammika Prasad,7845,0.0,0.0,0.0,37,1392,333.5,784500.0,4.161434977578475,8770
Dhananjaya de Silva,14611,0.0,0.0,0.0,35,1371,304.1,1461100.0,4.493608652900688,15486
Dhawal Kulkarni,16981,0.0,0.0,0.0,106,2890,381.7,1698100.0,7.551607002874315,19631
Dilbar Hussain,458,0.0,0.0,0.0,4,92,9.5,45800.0,8.761904761904763,558
Dilhara Fernando,10002,0.0,0.0,0.0,48,1930,362.0,1000200.0,5.316804407713499,11202
Dilhara Lokuhettige,1052,0.0,0.0,0.0,3,173,35.0,105200.0,4.805555555555555,1127
Dillon du Preez,256,0.0,0.0,0.0,4,56,7.0,25600.0,7.0,356
Dilruwan Perera,10690,0.0,0.0,0.0,82,2712,788.3,1069000.0,3.435955910300266,12740
